iter	Logloss
115	0.6888764899
116	0.6888592939
117	0.6888328127
118	0.6887978066
119	0.6887565689
120	0.6887245926
121	0.6886951365
122	0.6886727112
123	0.6886442764
124	0.6886040274
125	0.6885624492
126	0.6885276126
127	0.6884766301
128	0.6884483817
129	0.6884178175
130	0.6883930523
131	0.6883543512
132	0.6883249578
133	0.6882937605
134	0.6882508081
135	0.6882282428
136	0.6881883733
137	0.6881611618
138	0.6881340225
139	0.6880953054
140	0.6880410138
141	0.6880158603
142	0.6879819514
143	0.687952096
144	0.6879169315
145	0.6878680816
146	0.6878312577
147	0.687791113
148	0.6877586633
149	0.6877246683
150	0.6876895873
151	0.687647435
152	0.6876079015
153	0.6875760219
154	0.6875492135
155	0.6875070262
156	0.6874709248
157	0.6874283777
158	0.6874007698
159	0.6873669486
160	0.6873317151
161	0.6873007608
162	0.6872792364
163	0.6872476095
164	0.6872091107
165	0.6871615714
166	0.6871330475
167	0.6871003962
168	0.6870676538
169	0.6870275636
170	0.6869983626
171	0.6869576094
172	0.686914433
173	0.6868750881
174	0.6868399224
175	0.6867965656
176	0.6867523893
177	0.6867217905
178	0.6866892119
179	0.6866550615
180	0.6866317384
181	0.6865974612
182	0.6865674497
183	0.6865406445
184	0.6865156487
185	0.6864910696
186	0.6864534631
187	0.6864224342
188	0.6863968343
189	0.6863663089
190	0.6863321049
191	0.6862885789
192	0.6862585412
193	0.6862340293
194	0.6861951106
195	0.6861756811
196	0.686144806
197	0.6861170326
198	0.6860731636
199	0.6860525776
200	0.6860197266
201	0.6859860588
202	0.6859650572
203	0.685907566
204	0.6858775461
205	0.6858332576
206	0.6858031432
207	0.685774757
208	0.6857272084
209	0.6857031236
210	0.6856673607
211	0.6856312057
212	0.6855871982
213	0.6855283601
214	0.6854924138
215	0.6854607781
216	0.6854294307
217	0.6854024818
218	0.68536263
219	0.6853275204
220	0.6852858679
221	0.6852624037
222	0.6852407231
223	0.6851842012
224	0.6851427114
225	0.6851258937
226	0.6850816694
227	0.6850517645
228	0.6850178579
229	0.6849787961
230	0.6849351165
231	0.6848892682
232	0.6848465747
233	0.6848060572
234	0.6847600936
235	0.684724042
236	0.6846873043
237	0.6846379157
238	0.6846198135
239	0.6845739306
240	0.6845480617
241	0.6845109253
242	0.6844667473
243	0.6844328257
244	0.6844039798
245	0.6843688865
246	0.6843318721
247	0.6842971118
248	0.6842584884
249	0.6842272809
250	0.6841929153
251	0.6841441857
252	0.6841119878
253	0.6840828058
254	0.6840514568
255	0.6840319775
256	0.6840032014
257	0.6839846597
258	0.6839686631
259	0.6839310204
260	0.6838877984
261	0.6838573298
262	0.6838209759
263	0.6837880413
264	0.6837636419
265	0.6837029974
266	0.6836678993
267	0.6836396229
268	0.6835941743
269	0.6835823069
270	0.6835361188
271	0.6835060516
272	0.6834682282
273	0.6834337857
274	0.6834094152
275	0.6833737787
276	0.68334766
277	0.6833195458
278	0.6832835572
279	0.6832665163
280	0.683234998
281	0.6832068661
282	0.683178082
283	0.6831645444
284	0.6831399802
285	0.6830907953
286	0.6830640437
287	0.6830198334
288	0.6829821186
289	0.6829508849
290	0.6829200996
291	0.682891288
292	0.6828406178
293	0.682825426
294	0.6827909176
295	0.6827646584
296	0.682743442
297	0.6827210855
298	0.6826794844
299	0.6826555712
300	0.6826146138
301	0.6825883985
302	0.6825465613
303	0.6825194935
304	0.6824791397
305	0.682442071
306	0.6824066167
307	0.6823838051
308	0.6823685262
309	0.682342826
310	0.6823161891
311	0.6822814319
312	0.6822479584
313	0.6822098795
314	0.682184464
315	0.6821518745
316	0.6821250835
317	0.682096043
318	0.6820616546
319	0.6820382321
320	0.6820013794
321	0.6819727093
322	0.6819443145
323	0.681913274
324	0.6818823357
325	0.6818509852
326	0.6818240391
327	0.6817862451
328	0.6817541605
329	0.6817279909
330	0.6817120375
331	0.681689725
332	0.6816507295
333	0.6816312125
334	0.6816033237
335	0.6815710101
336	0.6815385939
337	0.6814960848
338	0.6814487705
339	0.6814282604
340	0.6813891731
341	0.681364235
342	0.6813258852
343	0.6812947188
344	0.6812633776
345	0.6812199751
346	0.6811800662
347	0.6811554027
348	0.6811298572
349	0.6810886224
350	0.6810536112
351	0.681012777
352	0.6809780821
353	0.6809444524
354	0.6809128621
355	0.6808950854
356	0.6808666187
357	0.680835959
358	0.6808178459
359	0.6807837515
360	0.6807631214
361	0.6807332013
362	0.6807025232
363	0.6806621513
364	0.6806294139
365	0.6805994859
366	0.6805692907
367	0.6805144889
368	0.6804795237
369	0.6804463861
370	0.6804141399
371	0.6803828914
372	0.6803486171
373	0.6803156275
374	0.680293827
375	0.6802580168
376	0.6802239281
377	0.680193536
378	0.6801620898
379	0.6801245815
380	0.6801038067
381	0.6800819688
382	0.6800453058
383	0.6799998983
384	0.6799658936
385	0.679940701
386	0.6799154212
387	0.679867333
388	0.6798417858
389	0.6798230445
390	0.6797880853
391	0.6797511208
392	0.6797159862
393	0.6796797363
394	0.6796512929
395	0.6796339996
396	0.6795943705
397	0.6795597536
398	0.6795211581
399	0.6794850773
400	0.6794604286
401	0.6794356707
402	0.6794079997
403	0.679385076
404	0.6793444643
405	0.6793159719
406	0.6792959095
407	0.6792686809
408	0.6792309195
409	0.6791950572
410	0.6791721273
411	0.6791355968
412	0.6791012559
413	0.6790708431
414	0.6790504165
415	0.6790260852
416	0.6789989042
417	0.6789641855
418	0.6789486741
419	0.6789114081
420	0.678875135
421	0.6788570835
422	0.6788260555
423	0.678795086
424	0.6787550105
425	0.6787234086
426	0.6787055417
427	0.6786831109
428	0.6786529411
429	0.6786164675
430	0.6785944319
431	0.6785672884
432	0.6785428341
433	0.6785164236
434	0.6784973719
435	0.6784678748
436	0.6784369082
437	0.6783960083
438	0.6783733611
439	0.6783366705
440	0.6783072138
441	0.6782630567
442	0.6782362484
443	0.6781954899
444	0.6781650042
445	0.6781250955
446	0.6780920193
447	0.6780496284
448	0.6780212564
449	0.677987102
450	0.6779615488
451	0.6779321286
452	0.6779097554
453	0.6778755263
454	0.6778418362
455	0.6778141365
456	0.6777836146
457	0.6777497327
458	0.6777246862
459	0.6776887649
460	0.6776544864
461	0.6776172821
462	0.6775727665
463	0.6775513529
464	0.6775157947
465	0.6774936316
466	0.6774810403
467	0.6774571322
468	0.6774318809
469	0.677396981
470	0.6773651053
471	0.6773250874
472	0.6772913829
473	0.6772639616
474	0.6772285875
475	0.677203444
476	0.6771820169
477	0.6771465253
478	0.6771094776
479	0.677072902
480	0.6770441851
481	0.6770062068
482	0.676983773
483	0.676970258
484	0.6769503824
485	0.6769270733
486	0.6769114344
487	0.6768927859
488	0.6768715663
489	0.6768482088
490	0.6768230071
491	0.6767912537
492	0.6767587894
493	0.6767214164
494	0.6766975923
495	0.6766663424
496	0.6766436627
497	0.6766146213
498	0.6765868984
499	0.6765561452
500	0.6765295406
501	0.6765056192
502	0.6764781785
503	0.6764508183
504	0.6764076751
505	0.6763831285
506	0.6763488125
507	0.6763389588
508	0.6763050604
509	0.676281696
510	0.6762617277
511	0.676229048
512	0.6762039028
513	0.6761732665
514	0.6761490238
515	0.6761275726
516	0.6760905032
517	0.676059588
518	0.6760128364
519	0.6759954207
520	0.6759652151
521	0.675937848
522	0.6759138754
523	0.6758825768
524	0.6758640451
525	0.6758460034
526	0.6758176425
527	0.6757919763
528	0.6757661643
529	0.6757399911
530	0.6757165006
531	0.6756930934
532	0.6756572713
533	0.6756234705
534	0.6755907008
535	0.6755476693
536	0.6755165912
537	0.6754802949
538	0.6754396967
539	0.6754038192
540	0.6753869846
541	0.6753494403
542	0.6753177733
543	0.6752882433
544	0.6752429757
545	0.6752209079
546	0.6751987642
547	0.6751729942
548	0.6751529704
549	0.6751307082
550	0.6751000741
551	0.6750671664
552	0.6750317233
553	0.6750138799
554	0.6749747459
555	0.6749489631
556	0.6749232238
557	0.6748709166
558	0.6748437054
559	0.6748201755
560	0.6747847162
561	0.6747498314
562	0.6747109862
563	0.6746729581
564	0.6746257639
565	0.6746007181
566	0.6745477706
567	0.6745076495
568	0.6744671682
569	0.6744408022
570	0.6744160901
571	0.6743825379
572	0.6743437958
573	0.6743110322
574	0.6742626161
575	0.6742329225
576	0.674204311
577	0.6741781863
578	0.6741627439
579	0.6741502906
580	0.674121646
581	0.6740878212
582	0.6740637772
583	0.6740357771
584	0.674014756
585	0.6739899196
586	0.673965099
587	0.6739317611
588	0.6739063037
589	0.6738789836
590	0.6738493299
591	0.6738201088
592	0.6737990353
593	0.6737682504
594	0.6737322185
595	0.673702442
596	0.6736660521
597	0.673636392
598	0.6736104373
599	0.673591281
600	0.6735701707
601	0.6735324713
602	0.6735033306
603	0.6734902983
604	0.6734609345
605	0.6734294136
606	0.6733957617
607	0.6733578273
608	0.6733091708
609	0.673276995
610	0.673249426
611	0.6732257308
612	0.6731834193
613	0.6731475938
614	0.6731187364
615	0.673092423
616	0.6730436732
617	0.6730128123
618	0.6729915291
619	0.6729541829
620	0.6729320715
621	0.6729013138
622	0.6728681998
623	0.6728435502
624	0.6728085512
625	0.6727842455
626	0.6727587551
627	0.6727437123
628	0.6727094547
629	0.6726697338
630	0.672623653
631	0.6726068826
632	0.6725717313
633	0.6725541598
634	0.6725348316
635	0.6725017535
636	0.6724880206
637	0.6724517974
638	0.6724248892
639	0.6723921232
640	0.6723754055
641	0.6723405903
642	0.6723068389
643	0.672280044
644	0.6722453883
645	0.6722264998
646	0.6721979218
647	0.672158678
648	0.6721165217
649	0.6720790165
650	0.6720448904
651	0.6720143108
652	0.6719986253
653	0.6719834168
654	0.6719584452
655	0.6719329655
656	0.671909962
657	0.6718706694
658	0.671846402
659	0.6718060809
660	0.6717830003
661	0.6717582672
662	0.6717365257
663	0.6717131333
664	0.671686252
665	0.6716621986
666	0.6716311567
667	0.6716069827
668	0.6715844586
669	0.6715581343
670	0.6715418171
671	0.6715057022
672	0.6714727937
673	0.6714473529
674	0.6714231817
675	0.6714050927
676	0.6713832002
677	0.6713619547
678	0.6713344351
679	0.6713116252
680	0.6712848566
681	0.6712596283
682	0.6712234063
683	0.6711843596
684	0.6711433975
685	0.6711105721
686	0.6710869902
687	0.6710633047
688	0.6710421929
689	0.6710134741
690	0.670982773
691	0.6709505341
692	0.6709193124
693	0.6708799763
694	0.6708443151
695	0.6708241974
696	0.6708016268
697	0.6707633236
698	0.6707443621
699	0.6707208386
700	0.6706945298
701	0.6706716399
702	0.6706567463
703	0.6706211291
704	0.6705948337
705	0.6705707521
706	0.6705431417
707	0.6705252416
708	0.6705065409
709	0.6704815792
710	0.6704531887
711	0.6704350512
712	0.6704100188
713	0.6703745984
714	0.6703476332
715	0.6703356164
716	0.6703136341
717	0.6702894698
718	0.6702726333
719	0.6702468883
720	0.6702293547
721	0.6702053893
722	0.6701756259
723	0.670147331
724	0.6701126592
725	0.6700836136
726	0.6700491985
727	0.6700286624
728	0.6700138826
729	0.669989046
730	0.6699734183
731	0.6699577835
732	0.6699112348
733	0.6698813166
734	0.6698479296
735	0.6698331383
736	0.6698003785
737	0.6697750524
738	0.6697609054
739	0.6697230604
740	0.6696955259
741	0.6696676106
742	0.6696476909
743	0.6696227119
744	0.6695888536
745	0.6695666481
746	0.6695452755
747	0.6695191002
748	0.6694794686
749	0.6694452835
750	0.6694266018
751	0.6693975124
752	0.6693718598
753	0.6693464726
754	0.6693271651
755	0.6693130119
756	0.6692871068
757	0.6692472467
758	0.6692260744
759	0.6692019489
760	0.6691879852
761	0.6691660842
762	0.6691337449
763	0.6690944882
764	0.6690714499
765	0.6690468909
766	0.669024668
767	0.6689955993
768	0.6689533492
769	0.6689233287
770	0.6688897037
771	0.6688640579
772	0.6688377361
773	0.6688133181
774	0.6687893117
775	0.668744899
776	0.6687332842
777	0.6686918503
778	0.6686595457
779	0.6686334682
780	0.6685946766
781	0.6685567416
782	0.6685294325
783	0.6685074789
784	0.6684837077
785	0.6684531677
786	0.6684307691
787	0.6683980199
788	0.6683710032
789	0.6683416126
790	0.6683250809
791	0.668303404
792	0.668285472
793	0.6682580634
794	0.6682357351
795	0.6682196797
796	0.6681925896
797	0.6681599035
798	0.6681475687
799	0.6681027171
800	0.6680650699
801	0.66802855
802	0.6680051968
803	0.6679773193
804	0.6679538378
805	0.6679233041
806	0.6678983882
807	0.6678656409
808	0.6678397762
809	0.6678031236
810	0.6677856522
811	0.6677460303
812	0.6677221959
813	0.6676936444
814	0.6676773939
815	0.6676570022
816	0.6676344708
817	0.6676152423
818	0.6675795624
819	0.6675569296
820	0.6675369255
821	0.6675146605
822	0.667480926
823	0.6674520335
824	0.6674281826
825	0.6674045435
826	0.6673860823
827	0.6673681126
828	0.6673521431
829	0.6673277474
830	0.667302722
831	0.6672622184
832	0.6672360882
833	0.6672147245
834	0.6671808227
835	0.6671455419
836	0.667115011
837	0.6670949507
838	0.6670691356
839	0.6670542038
840	0.6670160867
841	0.6669974724
842	0.6669622377
843	0.6669450038
844	0.6669168325
845	0.6668914599
846	0.6668705999
847	0.6668477566
848	0.6668185408
849	0.6668007591
850	0.6667732503
851	0.6667450102
852	0.6667182377
853	0.6666871842
854	0.6666655033
855	0.6666391541
856	0.6666199376
857	0.6665762767
858	0.6665402248
859	0.6665216275
860	0.6664852088
861	0.6664663379
862	0.6664439409
863	0.6664177084
864	0.6663906732
865	0.666356294
866	0.6663433034
867	0.666326618
868	0.6662822299
869	0.6662384617
870	0.6662165524
871	0.6661947428
872	0.6661744785
873	0.6661524737
874	0.6661301903
875	0.6660956285
876	0.6660695929
877	0.6660418393
878	0.6660236901
879	0.6659936908
880	0.6659631013
881	0.665933393
882	0.6659164363
883	0.6658855555
884	0.6658631709
885	0.6658310425
886	0.6657979621
887	0.6657654592
888	0.665739416
889	0.6656911928
890	0.6656599297
891	0.6656197156
892	0.6655776794
893	0.6655554345
894	0.665519634
895	0.6654915338
896	0.6654630125
897	0.6654287844
898	0.6654042366
899	0.665367673
900	0.6653465805
901	0.6653120295
902	0.6652759448
903	0.6652512262
904	0.6652292738
905	0.6652199097
906	0.6651907482
907	0.6651507388
908	0.6651232476
909	0.6650977877
910	0.6650777012
911	0.665054981
912	0.665028859
913	0.6650119452
914	0.664992836
915	0.664960292
916	0.6649439937
917	0.664915376
918	0.664898414
919	0.6648763052
920	0.6648498197
921	0.6648240059
922	0.664799891
923	0.6647830976
924	0.6647614369
925	0.664743122
926	0.6647165868
927	0.6647004481
928	0.6646849497
929	0.6646569358
930	0.6646445399
931	0.6646161547
932	0.6645927157
933	0.6645619685
934	0.6645400541
935	0.6645147504
936	0.6644967678
937	0.66446717
938	0.6644353719
939	0.6643953545
940	0.6643594442
941	0.6643253476
942	0.6643034345
943	0.6642781209
944	0.6642489236
945	0.6642089309
946	0.6641921207
947	0.6641700353
948	0.6641588368
949	0.664141411
950	0.6641145386
951	0.6640712722
952	0.6640547839
953	0.6640237337
954	0.6640095452
955	0.6639841321
956	0.6639601215
957	0.6639347299
958	0.66391536
959	0.6638854516
960	0.6638558968
961	0.6638326285
962	0.6638140694
963	0.663794419
964	0.6637612842
965	0.6637269214
966	0.6637199349
967	0.6636845727
968	0.6636569461
969	0.6636370372
970	0.6636168323
971	0.6635794656
972	0.6635518555
973	0.6635251847
974	0.6635103736
975	0.6634883072
976	0.6634649128
977	0.6634512749
978	0.6634067878
979	0.6633864131
980	0.6633667889
981	0.6633357221
982	0.6633062357
983	0.6632796223
984	0.6632391204
985	0.6632210701
986	0.6631951477
987	0.663152056
988	0.6631230424
989	0.6630936652
990	0.663073097
991	0.6630504007
992	0.6630150905
993	0.6629938563
994	0.6629600168
995	0.6629399968
996	0.662901739
997	0.6628736171
998	0.6628594472
999	0.6628165842
