Date,Close,High,Low,Open,Volume,daily_return,day_of_week
2020-12-25,24664.791015625,24710.1015625,23463.673828125,23733.5703125,42068395846,0.03913227940938091,4
2020-12-26,26437.037109375,26718.0703125,24522.689453125,24677.015625,48332647295,0.07185327832809496,5
2020-12-27,26272.294921875,28288.83984375,25922.76953125,26439.373046875,66479895605,-0.0062314920850786715,6
2020-12-28,27084.80859375,27389.111328125,26207.640625,26280.822265625,49056742893,0.03092663485588698,0
2020-12-29,27362.4375,27370.720703125,25987.298828125,27081.810546875,45265946774,0.010250355112868093,1
2020-12-30,28840.953125,28937.740234375,27360.08984375,27360.08984375,51287442704,0.054034499850387885,2
2020-12-31,29001.720703125,29244.876953125,28201.9921875,28841.57421875,46754964848,0.005574281038085438,3
2021-01-01,29374.15234375,29600.626953125,28803.5859375,28994.009765625,40730301359,0.012841708408869223,4
2021-01-02,32127.267578125,33155.1171875,29091.181640625,29376.455078125,67865420765,0.09372577639540935,5
2021-01-03,32782.0234375,34608.55859375,32052.31640625,32129.408203125,78665235202,0.020380066800975483,6
2021-01-04,31971.9140625,33440.21875,28722.755859375,32810.94921875,81163475344,-0.024712000360334718,0
2021-01-05,33992.4296875,34437.58984375,30221.1875,31977.041015625,67547324782,0.06319658000613337,1
2021-01-06,36824.36328125,36879.69921875,33514.03515625,34013.61328125,75289433811,0.08331071417326141,2
2021-01-07,39371.04296875,40180.3671875,36491.19140625,36833.875,84762141031,0.0691574669750421,3
2021-01-08,40797.609375,41946.73828125,36838.63671875,39381.765625,88107519480,0.0362338992996023,4
2021-01-09,40254.546875,41436.3515625,38980.875,40788.640625,61984162837,-0.013311135341493308,5
2021-01-10,38356.44140625,41420.19140625,35984.62890625,40254.21875,79980747690,-0.047152573214749416,6
2021-01-11,35566.65625,38346.53125,30549.599609375,38346.53125,123320567399,-0.07273315912449108,0
2021-01-12,33922.9609375,36568.52734375,32697.9765625,35516.359375,74773277909,-0.046214502171538774,1
2021-01-13,37316.359375,37599.9609375,32584.66796875,33915.12109375,69364315979,0.10003249550509552,2
2021-01-14,39187.328125,39966.40625,36868.5625,37325.109375,63615990033,0.050138030111625875,3
2021-01-15,36825.3671875,39577.7109375,34659.58984375,39156.70703125,67760757881,-0.06027358971670127,4
