Date,Close,High,Low,Open,log_vol,year,month,day,day_of_week,is_month_end,price_diff,pct_diff,return_daily,return_lag_1,return_lag_2,return_lag_3,return_lag_4,return_lag_5,sma_5,rolling_std_return_5,RSI_5,MACD,MACD_signal,bb_middle,bb_upper,bb_lower,rolling_mean_vol,rolling_std_vol,volume_spike,price_above_SMA50,RSI_overbought,MACD_above_signal,target
2021-02-16,146.42465209960938,148.18099893852468,146.04321537927373,147.76408634281205,15.548245343541966,2021,2,16,1,0,1.9337669887608513,0.013260389388718291,0.0031315658544028846,-0.0044963313784469605,0.0032477236604304682,0.008185771964294153,0.0028578314372127434,0.015186199225934782,147.36315307617187,0.007275771352982383,64.82721659067093,1.7378698248563182,1.7530331315800527,147.36315307617187,148.52744171416623,146.1988644381775,15.486885177583428,0.13395789523357068,0,0,0,0,1
2021-02-17,146.94801330566406,147.32943651009018,145.79485103641318,146.33594952624077,15.71413456124724,2021,2,17,2,0,-1.3394342432026747,-0.009064680575327302,-0.009064766269015645,0.0031315658544028846,-0.0044963313784469605,0.0032477236604304682,0.008185771964294153,0.0028578314372127434,147.38976135253907,0.004536691362550081,48.27145928291851,1.6220204592870857,1.7268305971214595,147.38976135253907,148.45690748911605,146.3226152159621,15.47390698889283,0.12120481757340378,0,0,0,0,1
2021-02-18,147.01898193359375,147.39153956099688,145.74163376235714,146.3270872633815,15.46207102241175,2021,2,18,3,0,0.6120637794232948,0.004182593418806773,0.0035742697595666506,-0.009064766269015645,0.0031315658544028846,-0.0044963313784469605,0.0032477236604304682,0.008185771964294153,147.2815399169922,0.006883797480824785,54.00811616267337,1.5545203350729935,1.6923685447117665,147.2815399169922,148.3951685087543,146.16791132523008,15.511081286221094,0.16325401355556268,0,0,0,0,0
2021-02-19,144.5707244873047,147.21413078603726,144.50863831800297,146.89479374824887,15.918534461988365,2021,2,19,4,0,0.6918946702122639,0.004728411418228314,0.00048295057778058315,0.0035742697595666506,-0.009064766269015645,0.0031315658544028846,-0.0044963313784469605,0.0032477236604304682,147.09171142578126,0.005764415294355568,54.85670400732738,1.4895816059643323,1.6518111569622798,147.09171142578126,147.97151821214473,146.21190463941778,15.484682141457593,0.15703370413121412,1,0,0,0,0
2021-02-22,144.4814453125,145.07947031235167,143.0711719138883,144.4814453125,15.679141130371377,2021,2,22,0,0,-2.324069260944185,-0.015821318112384703,-0.016652662221500747,0.00048295057778058315,0.0035742697595666506,-0.009064766269015645,0.0031315658544028846,-0.0044963313784469605,146.54529418945313,0.005410200157899964,30.549955174241035,1.2264258070331664,1.5667340869764572,146.54529418945313,148.69667109727504,144.39391728163122,15.588614712820819,0.23743042553249546,0,0,0,0,0
2021-02-23,143.20510864257812,145.65969629387735,143.16939792246478,144.13338307078746,15.767516518323397,2021,2,23,1,0,0.0,0.0,-0.0006175467067852658,-0.016652662221500747,0.00048295057778058315,0.0035742697595666506,-0.009064766269015645,0.0031315658544028846,145.88876342773438,0.008854862784980768,29.94513463674592,0.9991512633615685,1.4532175222534796,145.88876342773438,148.15227428823067,143.62525256723808,15.66442530391214,0.17443055098274524,0,0,0,0,1
2021-02-24,145.12416076660156,146.73080286111767,143.63355809602712,144.95456887611783,16.14630412444048,2021,2,24,2,0,-0.9282744282093347,-0.006440384652273348,-0.00883391405146372,-0.0006175467067852658,-0.016652662221500747,0.00048295057778058315,0.0035742697595666506,-0.009064766269015645,145.24485473632814,0.008270602816074385,22.1195428191039,0.7078847923617104,1.3041509762751258,145.24485473632814,148.2443328365831,142.24537663607316,15.708279538868428,0.16524081982347774,1,0,0,0,1
2021-02-25,145.27587890625,146.1149037616089,144.58860417975302,145.6061417742066,16.08966541464661,2021,2,25,3,0,0.1695918904837299,0.001169965816176983,0.013400723914208656,-0.00883391405146372,-0.0006175467067852658,-0.016652662221500747,0.00048295057778058315,0.0035742697595666506,144.8800842285156,0.008239023346506615,47.77187650659183,0.6247042817584259,1.1682616373717858,144.8800842285156,147.3611511599084,142.39901729712284,15.794713451507073,0.2567563359257757,0,0,0,0,0
2021-02-26,141.43777465820312,144.96345151416136,141.00040697180282,144.59749163082515,16.483953373831856,2021,2,26,4,0,-0.33026286795660553,-0.002268193250177239,0.0010454368097427835,0.013400723914208656,-0.00883391405146372,-0.0006175467067852658,-0.016652662221500747,0.00048295057778058315,144.53146362304688,0.011243612974752919,49.418340409622935,0.5645181004684616,1.047512929991121,144.53146362304688,145.9926151686193,143.07031207747445,15.920232329954047,0.20078968776098147,1,0,0,0,1
2021-03-01,142.20542907714844,144.17801738168365,142.00012648174567,144.10660955975868,16.171769205278245,2021,3,1,0,0,-3.1597169726220216,-0.021851810408227278,-0.02641941853625751,0.0010454368097427835,0.013400723914208656,-0.00883391405146372,-0.0006175467067852658,-0.016652662221500747,143.90487365722657,0.011282965957845406,24.74794232433156,0.2047568719729611,0.878961718387489,143.90487365722657,146.77192787622016,141.037819438233,16.033316112322744,0.3221431429603944,0,0,0,0,0
2021-03-02,141.93765258789062,143.5085838050717,141.5627717390059,142.6160064640178,15.84509211967577,2021,3,2,1,0,-1.9011804826102434,-0.013192874972343685,0.005427506341926014,-0.02641941853625751,0.0010454368097427835,0.013400723914208656,-0.00883391405146372,-0.0006175467067852658,143.44967041015624,0.014707767536068894,33.09794234694844,-0.018203360487717646,0.6995287026124477,143.44967041015624,146.5214291109251,140.37791170938738,16.131841727304117,0.25509688125151675,0,0,0,0,0
