Date,Close,High,Low,Open,Volume
2020-12-24,135.2478790283203,135.7534881140102,134.67130465187222,134.6979149440009,2114900
2020-12-28,135.88656616210938,136.48975088862338,135.09709583755634,136.00188646257388,3855500
2020-12-29,136.72923278808594,137.42999298237936,136.4276404784024,136.70262249812822,5212000
2020-12-30,138.42347717285156,138.71620386323713,137.1372636801217,137.26144953041472,5412800
2020-12-31,139.60328674316406,139.85165850997794,137.5896887794803,138.84929232124946,5099900
2021-01-04,138.8226776123047,139.60328230332024,136.72038324747365,139.4790964238628,11765900
2021-01-05,140.45484924316406,140.82740690936316,137.55421879877534,138.60092649877566,9602300
2021-01-06,141.77655029296875,142.13136324505606,139.01783695446335,139.47910462037407,8230100
2021-01-07,142.25555419921875,142.84100777273963,140.46373113152927,141.04030558302145,7747200
2021-01-08,141.96279907226562,142.90307895805077,141.8208820358543,142.37971166697628,8228900
2021-01-11,141.36849975585938,143.0982500768713,140.83628034075633,142.42408653506277,7066200
2021-01-12,140.2685546875,141.62573365935077,139.5589153505581,141.17333164523745,6903200
2021-01-13,140.05564880371094,140.56127136324562,139.04441721988516,140.35724110137537,6643100
2021-01-14,142.50389099121094,143.65705314629517,141.58136938828977,142.32648455240806,10030800
2021-01-15,142.19346618652344,143.17808771646867,141.1378793574992,142.19346618652344,7630800
2021-01-19,144.39334106445312,144.6239681426075,142.90311034053744,143.70144629474265,9057600
2021-01-20,144.03854370117188,145.59973989567663,143.52405536161663,144.76591443278534,6839900
2021-01-21,143.4619598388672,144.1272444040162,141.9805944980319,143.09828123004172,6818000
2021-01-22,145.07635498046875,146.50449937489117,143.5861108781278,144.02076822782013,8137000
2021-01-25,147.23182678222656,147.32940234088488,145.17388800221724,146.37139145639642,9924400
2021-01-26,151.22357177734375,154.03550548012078,150.25669505531778,150.53167710146778,14205700
2021-01-27,148.91729736328125,151.61391143884927,148.5358605179245,150.01722581866153,14207300
2021-01-28,150.0526885986328,151.56066393069028,148.84630562593756,149.2011185739818,8944400
2021-01-29,144.7038116455078,147.2496292169556,142.41523144670137,145.706164375366,22505900
2021-02-01,144.33120727539062,146.63751790190457,144.23363171004146,146.63751790190457,9971400
2021-02-02,143.03611755371094,145.1739009156852,142.97401785847637,144.9255292052331,11443300
2021-02-03,142.370849609375,143.2756401070414,141.54590351977083,142.76115192347598,8601900
2021-02-04,143.69256591796875,143.7812623841694,141.7144438747278,142.81438563053348,7758100
2021-02-05,145.8746795654297,146.75285978290196,145.3513257902292,146.23837159304148,9495300
2021-02-08,146.2916259765625,147.17867198432864,145.3691040839948,146.38920157882671,6035300
2021-02-09,147.48912048339844,147.77296812325628,146.33595814622004,146.53997490629715,5544200
2021-02-10,147.96815490722656,148.970521312077,146.98353321390195,148.9261663008869,5921300
2021-02-11,147.30282592773438,148.47373290088498,146.89479243242067,148.13665115978193,4871300
2021-02-12,147.76409912109375,148.0036052901446,145.47551920690205,145.8303321323329,4413100
2021-02-16,146.42466735839844,148.18101438034117,146.0432305983136,147.7641017411824,5656100
2021-02-17,146.9480438232422,147.32946710688074,145.79488131450714,146.33597991670794,6676700
2021-02-18,147.0189971923828,147.3915548584529,145.74164888857294,146.32710245036026,5189100
2021-02-19,144.5707244873047,147.21413078603726,144.50863831800297,146.89479374824887,8190900
2021-02-22,144.48147583007812,145.0795009562455,143.07120213358644,144.48147583007812,6447100
2021-02-23,143.20513916015625,145.65972733453785,143.16942843243282,144.13341378618458,7042800
2021-02-24,145.12416076660156,146.73080286111767,143.63355809602712,144.95456887611783,10286100
2021-02-25,145.27586364746094,146.11488841469438,144.58858899315058,145.60612648072896,9719700
2021-02-26,141.4377899169922,144.96346715331245,141.00042218340718,144.59750723049524,14417500
2021-03-01,142.20542907714844,144.17801738168365,142.00012648174567,144.10660955975868,10551400
2021-03-02,141.9376220703125,143.50855294973246,141.56274130202976,142.6159758005889,7610900
2021-03-03,139.4384307861328,141.83053147944494,139.29561514543232,141.25036166611676,8499600
2021-03-04,136.62680053710938,139.33130840304176,135.1986715483901,139.23312436482172,11033200
2021-03-05,139.33131408691406,139.8579313953737,136.68035856647745,137.43904105672067,8331600
2021-03-08,140.49163818359375,142.21431916802533,139.22418026295347,140.13461277088956,6546700
2021-03-09,140.75942993164062,143.48179327446363,140.0364445365864,140.0364445365864,7461300
2021-03-10,142.05368041992188,142.7231134353214,140.45597294914745,141.7591418784377,6635600
2021-03-11,142.04473876953125,143.37468373530598,141.8483706908357,142.4017642109881,6305600
2021-03-12,142.45535278320312,143.08907508482142,142.089392795142,142.16972148920917,5474800
